titre,date_debut,date_fin,type,service_publieur,lien
"Horaire spécial pour les patinoires extérieures, arrondissement de Pierrefonds-Roxboro",2024-02-09T14:03:51.157000,2024-06-08T15:03:51.157000,"Parcs et bâtiments municipaux","Services des communications","https://montreal.ca/alertes/horaire-special-pour-les-patinoires-exterieures-arrondissement-de-pierrefondsroxboro-20240209090652"
"TRAVAUX ANNULÉS – Possibilité de coupure d'eau – Entre le 4955 et le 5245 chemin de la Côte-Saint-Luc – CDN/NDG",2024-02-09T14:14:06.475000,2024-06-08T15:14:06.475000,"Eau et aqueduc","Services des communications","https://montreal.ca/alertes/travaux-annules-possibilite-de-coupure-deau-entre-le-4955-et-le-5245-chemin-de-la-cotesaintluc-cdnndg-20240209091525"
"Fermeture à ‌la‌ ‌circulation sur la rue De La Gauchetière, entre les rues De Bleury et de la côte du Beaver Hal, Ville-Marie",2024-02-09T15:51:10.041000,2024-06-08T16:51:10.041000,"Circulation et transport","Services des communications","https://montreal.ca/alertes/fermeture-a-la-circulation-sur-la-rue-de-la-gauchetiere-entre-les-rues-de-bleury-et-de-la-cote-du-beaver-hal-villemarie-20240209105244"
"Fermeture de la circulation – Place Lucy, entre le boulevard Décarie et l'avenue Coolbrook, le 10/02/2024, arrondissement de CDN-NDG",2024-02-09T15:55:24.418000,2024-06-08T16:55:24.418000,"Circulation et transport","Services des communications","https://montreal.ca/alertes/fermeture-de-la-circulation-place-lucy-entre-le-boulevard-decarie-et-lavenue-coolbrook-le-10022024-arrondissement-de-cdnndg-20240209105647"
"Fermeture à ‌la‌ ‌circulation sur la rue Notre-Dame, entre les 28e et 29e Avenues, Lachine",2024-02-09T16:03:02.642000,2024-06-08T17:03:02.642000,"Circulation et transport","Services des communications","https://montreal.ca/alertes/fermeture-a-la-circulation-sur-la-rue-notredame-entre-les-28e-et-29e-avenues-lachine-20240209110400"
"Fermeture à ‌la‌ ‌circulation sur la rue Piché et sur les 15e et 16e Avenues, Lachine",2024-02-09T16:13:25.201000,2024-06-08T17:13:25.201000,"Circulation et transport","Services des communications","https://montreal.ca/alertes/fermeture-a-la-circulation-sur-la-rue-piche-et-sur-les-15e-et-16e-avenues-lachine-20240209111432"
"Fermeture à ‌la‌ ‌circulation sur les rues Sainte-Catherine Ouest et Metcalfe, arrondissement de Ville-Marie",2024-02-09T16:18:26.054000,2024-06-08T17:18:26.054000,"Circulation et transport","Services des communications","https://montreal.ca/alertes/fermeture-a-la-circulation-sur-les-rues-saintecatherine-ouest-et-metcalfe-arrondissement-de-villemarie-20240209112959"
"MISE À JOUR - Fermeture à ‌la‌ ‌circulation sur l'avenue du Mont-Royal et sur la rue Saint-André, Le Plateau-Mont-Royal",2024-02-07T19:14:49.052000,2024-06-06T20:14:49.052000,"Circulation et transport","Services des communications","https://montreal.ca/alertes/mise-a-jour-fermeture-a-la-circulation-sur-lavenue-du-montroyal-et-sur-la-rue-saintandre-le-plateaumontroyal-20240207141759"
"Avis d’interruption d’eau – Boulevard Rosemont – Arrondissement de Rosemont-La Petite-Patrie ",2024-02-09T19:42:01.958000,2024-06-08T20:42:01.958000,"Eau et aqueduc","Services des communications","https://montreal.ca/alertes/avis-dinterruption-deau-boulevard-rosemont-arrondissement-de-rosemontla-petitepatrie--20240209145801"
"Coupure d'eau – Sur les avenues MacMahon et Somerled, arrondissement de Côte-des-Neiges–Notre-Dame-de-Grâce",2024-02-10T21:03:03.332000,2024-06-09T22:03:03.332000,"Eau et aqueduc","Services des communications","https://montreal.ca/alertes/coupure-deau-sur-les-avenues-macmahon-et-somerled-arrondissement-de-cotedesneigesnotredamedegrace-20240210160714"
"Possibilité d’eau colorée – Arrondissement d’Anjou",2024-02-09T15:10:40.893000,2024-06-08T16:10:40.893000,"Eau et aqueduc","Services des communications","https://montreal.ca/alertes/possibilite-deau-coloree-arrondissement-danjou-20240211100115"
"Fermeture du service de prêt de matériel d'Hiver-O-Parc  – 11/02/2024  – arrondissement de Villeray–Saint-Michel–Parc-Extension ",2024-02-11T15:28:24.497000,2024-06-10T16:28:24.497000,"Parcs et bâtiments municipaux","Services des communications","https://montreal.ca/alertes/fermeture-du-service-de-pret-de-materiel-dhiveroparc-11022024-arrondissement-de-villeraysaintmichelparcextension--20240211103026"
"Possibilité de baisse de la pression de l'eau – Arrondissement de Rivière-des-Prairies–Pointe-aux-Trembles ",2024-02-11T15:09:32.443000,2024-06-10T16:09:32.443000,"Eau et aqueduc","Services des communications","https://montreal.ca/alertes/possibilite-de-baisse-de-la-pression-de-leau-arrondissement-de-rivieredesprairiespointeauxtrembles--20240211101945"
"Horaire spécial pour le Centre aquatique de Rivière-des-Prairies, le 11/02/2024, arrondissement de Rivière-des-Prairies—Pointe-aux-Trembles",2024-02-11T20:46:31.951000,2024-06-10T21:46:31.951000,"Parcs et bâtiments municipaux","Services des communications","https://montreal.ca/alertes/horaire-special-pour-le-centre-aquatique-de-rivieredesprairies-le-11022024-arrondissement-de-rivieredesprairiespointeauxtrembles-20240211154838"
"Fermeture de la circulation – Avenue de Chester entre la rue West Broadway et l'avenue O'Bryan, Côte-des-Neiges–Notre-Dame-de-Grâce",2024-02-11T21:10:59.188000,2024-06-10T22:10:59.188000,"Circulation et transport","Services des communications","https://montreal.ca/alertes/fermeture-de-la-circulation-avenue-de-chester-entre-la-rue-west-broadway-et-lavenue-obryan-cotedesneigesnotredamedegrace-20240211161522"
"Coupure d'eau – Avenue de Chester, avenue O'Bryan et rue West Broadway, arrondissement de Côte-des-Neiges–Notre-Dame-de-Grâce",2024-02-11T21:34:03.512000,2024-06-10T22:34:03.512000,"Eau et aqueduc","Services des communications","https://montreal.ca/alertes/coupure-deau-avenue-de-chester-avenue-obryan-et-rue-west-broadway-arrondissement-de-cotedesneigesnotredamedegrace-20240211165547"
"Coupure d'eau – 13/02/2024 – Avenue de Chester, avenue O'Bryan et rue West Broadway, arrondissement de Côte-des-Neiges–Notre-Dame-de-Grâce",2024-02-11T22:11:37.219000,2024-06-10T23:11:37.219000,"Eau et aqueduc","Services des communications","https://montreal.ca/alertes/coupure-deau-13022024-avenue-de-chester-avenue-obryan-et-rue-west-broadway-arrondissement-de-cotedesneigesnotredamedegrace-20240211172131"
"Fermeture de la circulation – Rue Wellington, entre les rues de l'Église et Hickson, le 12/02/2024, arrondissement de Verdun",2024-02-05T14:25:07.100000,2024-06-04T15:25:07.100000,"Circulation et transport","Services des communications","https://montreal.ca/alertes/fermeture-de-la-circulation-rue-wellington-entre-les-rues-de-leglise-et-hickson-le-12022024-arrondissement-de-verdun-20240211194320"
"Coupure d'eau – Boulevard Gouin, entre les 49e et 55e Avenue et les environs – Arrondissement de Rivière-des-Prairies–Pointe-aux-Trembles",2024-02-12T14:17:02.292000,2024-06-11T15:17:02.292000,"Eau et aqueduc","Services des communications","https://montreal.ca/alertes/coupure-deau-boulevard-gouin-entre-les-49e-et-55e-avenue-et-les-environs-arrondissement-de-rivieredesprairiespointeauxtrembles-20240212093713"
"Fin de l'avis préventif d’ébullition de l’eau – Rues du Laus, de Domrémy, Lavergne et Jean-Nicolet – Arrondissement de Saint-Léonard",2024-02-12T15:23:28.820000,2024-06-11T16:23:28.820000,"Urgence","Services des communications","https://montreal.ca/alertes/fin-de-lavis-preventif-debullition-de-leau-rues-du-laus-de-domremy-lavergne-et-jeannicolet-arrondissement-de-saintleonard-20240212104142"
"Fermeture à ‌la‌ ‌circulation sur la rue Hurteau, entre les rues Jolicoeur et Jacques-Hertel, Le Sud-Ouest",2024-02-12T15:42:36.449000,2024-06-11T16:42:36.449000,"Circulation et transport","Services des communications","https://montreal.ca/alertes/fermeture-a-la-circulation-sur-la-rue-hurteau-entre-les-rues-jolicoeur-et-jacqueshertel-le-sudouest-20240212104410"
"Fermeture de la circulation – Avenue Blanchard, entre les rues Vinet et du Dominion, arrondissement du Sud-Ouest",2024-02-12T15:46:26.214000,2024-06-11T16:46:26.214000,"Circulation et transport","Services des communications","https://montreal.ca/alertes/fermeture-de-la-circulation-avenue-blanchard-entre-les-rues-vinet-et-du-dominion-arrondissement-du-sudouest-20240212105611"
"Coupure d'eau – Avenue  De La Vérendrye entre l'avenue Rondeau et l'avenue Lévesque, arrondissement d'Anjou",2024-02-12T18:35:13.958000,2024-06-11T19:35:13.958000,"Eau et aqueduc","Services des communications","https://montreal.ca/alertes/coupure-deau-avenue-de-la-verendrye-entre-lavenue-rondeau-et-lavenue-levesque-arrondissement-danjou-20240212133902"
"Entrave à la circulation – Avenue De La Vérendrye entre l'avenue Rondeau et l'avenue Lévesque, arrondissement d'Anjou",2024-02-12T18:44:34.864000,2024-06-11T19:44:34.864000,"Circulation et transport","Services des communications","https://montreal.ca/alertes/entrave-a-la-circulation-avenue-de-la-verendrye-entre-lavenue-rondeau-et-lavenue-levesque-arrondissement-danjou-20240212134609"
"MISE À JOUR  – Fermeture de la circulation – Av. de Chester entre la rue West Broadway et l'av. O'Bryan, Côte-des-Neiges–Notre-Dame-de-Grâce",2024-02-12T18:59:11.844000,2024-06-11T19:59:11.844000,"Circulation et transport","Services des communications","https://montreal.ca/alertes/mise-a-jour-fermeture-de-la-circulation-av-de-chester-entre-la-rue-west-broadway-et-lav-obryan-cotedesneigesnotredamedegrace-20240212140314"
"Fermeture de la circulation – Rue Wellington, entre les rues Galt et Hickson, le 12/02/2024, arrondissement de Verdun",2024-02-13T14:53:08.787000,2024-06-12T15:53:08.787000,"Circulation et transport","Services des communications","https://montreal.ca/alertes/fermeture-de-la-circulation-rue-wellington-entre-les-rues-galt-et-hickson-le-12022024-arrondissement-de-verdun-20240213100006"
